"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","Login exist user","tests.users","Wed Jul 16 00:55:36 MSK 2025","passed","Wed Jul 16 00:55:36 MSK 2025","TestLoginUser","test_user_login","",""
"","168","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","55","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","54","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","91","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:39 MSK 2025","TestChangeUserData","test_user_update","",""
"","533","Get user orders","tests.orders","Wed Jul 16 00:55:34 MSK 2025","passed","Wed Jul 16 00:55:35 MSK 2025","TestGetUserOrders","test_get_user_orders","",""
"","62","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","58","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","121","unknown login","tests.users","Wed Jul 16 00:55:36 MSK 2025","passed","Wed Jul 16 00:55:36 MSK 2025","TestLoginUser","test_user_login","",""
"","177","Create order","tests.orders","Wed Jul 16 00:55:33 MSK 2025","passed","Wed Jul 16 00:55:33 MSK 2025","TestCreateOrder","test_create_order","",""
"","139","Incorrect password","tests.users","Wed Jul 16 00:55:36 MSK 2025","passed","Wed Jul 16 00:55:36 MSK 2025","TestLoginUser","test_user_login","",""
"","172","Create order","tests.orders","Wed Jul 16 00:55:34 MSK 2025","passed","Wed Jul 16 00:55:34 MSK 2025","TestCreateOrder","test_create_order","",""
"","64","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","139","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","0","Create user","tests.users","Wed Jul 16 00:55:36 MSK 2025","passed","Wed Jul 16 00:55:36 MSK 2025","TestUserRegistration","test_user_registration","",""
"","56","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","173","Create order","tests.orders","Wed Jul 16 00:55:34 MSK 2025","passed","Wed Jul 16 00:55:34 MSK 2025","TestCreateOrder","test_create_order","",""
"","141","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","61","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","170","Create exist user","tests.users","Wed Jul 16 00:55:36 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","266","Change userdata","tests.users","Wed Jul 16 00:55:38 MSK 2025","passed","Wed Jul 16 00:55:38 MSK 2025","TestChangeUserData","test_user_update","",""
"","177","Get user orders","tests.orders","Wed Jul 16 00:55:35 MSK 2025","passed","Wed Jul 16 00:55:35 MSK 2025","TestGetUserOrders","test_get_user_orders","",""
"","186","Create order","tests.orders","Wed Jul 16 00:55:33 MSK 2025","passed","Wed Jul 16 00:55:34 MSK 2025","TestCreateOrder","test_create_order","",""
"","158","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
"","57","Try to create user without mandatory fields","tests.users","Wed Jul 16 00:55:37 MSK 2025","passed","Wed Jul 16 00:55:37 MSK 2025","TestUserRegistration","test_user_registration","",""
